sepal_length,sepal_width,petal_length,petal_width,species_pred,setosa,versicolor,virginica
5.5,2.5,4.0,1.3,versicolor,0.0091,0.9181,0.0727
6.9,3.1,5.1,2.3,virginica,0.011,0.0089,0.9801
5.1,2.5,3.0,1.1,versicolor,0.0253,0.9403,0.0343
4.4,2.9,,0.2,setosa,0.4683,0.3729,0.1588
5.9,3.0,5.1,1.8,virginica,0.0133,0.1654,0.8213
5.5,3.5,1.3,0.2,setosa,0.9413,0.0314,0.0273
5.6,,3.6,1.3,versicolor,0.031,0.9554,0.0136
6.5,3.0,5.2,2.0,virginica,0.0099,0.0241,0.966
5.3,3.7,1.5,0.2,setosa,0.948,0.026,0.026
5.1,3.4,1.5,,setosa,0.6856,0.2198,0.0945
6.1,2.8,4.0,1.3,versicolor,0.0121,0.9705,0.0174
5.5,2.4,3.7,1.0,versicolor,0.0139,0.9578,0.0284
7.7,3.0,6.1,2.3,virginica,0.0131,0.0096,0.9773
6.9,3.1,4.9,1.5,versicolor,0.0166,0.7304,0.2531
6.0,2.2,5.0,1.5,virginica,0.0181,0.1625,0.8195
